bds,product_name,generic_group,category,form,pediatric_target_status,supported_target_modes,default_target_mode,default_target_value,default_target_unit,fixed_amount_min_per_dose,fixed_amount_max_per_dose,fixed_amount_unit,reference_source_product,reference_source_shortcut,reference_frequency,reference_duration,reference_dispense,same_generic_reference_count,same_generic_reference_disease_keys,notes
BDS008609,Ampol Suspension (60 ml.),Paracetamol,General analgesics & antipyretics,syrup / suspension,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS002407,Kit-F Drops (15 ml.),Paracetamol,General analgesics & antipyretics,drops,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS007583,Newtamol Syrup (60 ml.),Paracetamol,General analgesics & antipyretics,syrup / suspension,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS002861,Panadol Orange Suspension (60 ml.),Paracetamol,General analgesics & antipyretics,syrup / suspension,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS002847,Panadol Strawberry Suspension (60 ml.),Paracetamol,General analgesics & antipyretics,syrup / suspension,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS008137,Poro Suspension (60 ml.),Paracetamol,General analgesics & antipyretics,syrup / suspension,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS003597,Sara Infant Drops (รสองุ่น) (15 ml.),Paracetamol,General analgesics & antipyretics,drops,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS003596,Sara น้ำรสสตรอเบอร์รี่ (60 ml.),Paracetamol,General analgesics & antipyretics,other,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS003504,Sara น้ำรสส้ม (60 ml.),Paracetamol,General analgesics & antipyretics,other,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS003600,Sara น้ำรสองุ่น (60 ml.),Paracetamol,General analgesics & antipyretics,other,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
