adult_dose,adult_duration,adult_frequency,adult_max_dose,adult_route,disease_key,disease_name,dose_verified,duration_verified,final_rx_status,frequency_verified,generic_name,gold_regimen_row_id,icd10,indication_verified,line_of_therapy,modality,product_id,regimen_id,route_verified,safety_minimum_ready,source_ids
1 tab PO OD,5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_b91d5c5baade,,False,RX1,RX NOW,BDS004213,FRM0001,False,False,
2 sprays/nostril OD,7–14 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),gold_regimen_bc70d5764560,,False,RX2,RX NOW,BDS002805,FRM0001,False,False,
1 tab PO OD,5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_7af69c4b2e21,,False,SWAP1,SWAP,BDS003747,FRM0001,False,False,
1 tab PO q4–6h,3–5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,gold_regimen_a3261d3e00d6,,False,SWAP2,SWAP,BDS045630,FRM0001,False,False,
1 tab PO OD,5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_ebfa4bdb1694,,False,RX1,RX NOW,BDS004213,FRM0001,False,False,
2 sprays/nostril OD,7–14 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),gold_regimen_bf74152d4e17,,False,RX2,RX NOW,BDS002805,FRM0001,False,False,
1 tab PO OD,5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_0d9616be2635,,False,SWAP1,SWAP,BDS003747,FRM0001,False,False,
1 tab PO q4–6h,3–5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,gold_regimen_07e572a9480c,,False,SWAP2,SWAP,BDS045630,FRM0001,False,False,
1–2 tabs PO q4–6h PRN fever/pain,3 days,,,,uri_wet_cough_adult,Acute viral URI with productive cough,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_7cdacd71e777,,False,RX1,RX NOW,BDS003762,FRM0002,False,False,cdc_common_cold_treatment;  nice_acute_cough_antimicrobial_ng120
1 tab PO q4–6h,3–5 days,,,,uri_wet_cough_adult,Acute viral URI with productive cough,False,False,source_missing_hide_from_rx,False,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,gold_regimen_08cd83539302,,False,RX2,RX NOW,BDS045630,FRM0002,False,False,cdc_common_cold_treatment;  nice_acute_cough_antimicrobial_ng120
1 tab PO TID–QID,3 days,,,,uri_wet_cough_adult,Acute viral URI with productive cough,False,False,source_missing_hide_from_rx,False,Ambroxol HCl 30 mg.,gold_regimen_ad306dae5b14,,False,RX3,RX NOW,BDS002655,FRM0002,False,False,cdc_common_cold_treatment;  nice_acute_cough_antimicrobial_ng120
1 eff tab PO OD,5 days,,,,uri_wet_cough_adult,Acute viral URI with productive cough,False,False,source_missing_hide_from_rx,False,Acetylcysteine 600 mg.,gold_regimen_5753d9230be6,,False,SWAP1,SWAP,BDS002901,FRM0002,False,False,cdc_common_cold_treatment;  nice_acute_cough_antimicrobial_ng120
1–2 tabs PO q4–6h PRN fever/pain,3 days,,,,uri_wet_cough_adult,Acute viral URI with productive cough,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_4afd287d5aac,,False,RX1,RX NOW,BDS003762,FRM0002,False,False,cdc_common_cold_treatment;  nice_acute_cough_antimicrobial_ng120
1 tab PO q4–6h,3–5 days,,,,uri_wet_cough_adult,Acute viral URI with productive cough,False,False,source_missing_hide_from_rx,False,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,gold_regimen_ec397ea74e60,,False,RX2,RX NOW,BDS045630,FRM0002,False,False,cdc_common_cold_treatment;  nice_acute_cough_antimicrobial_ng120
1 tab PO TID–QID,3 days,,,,uri_wet_cough_adult,Acute viral URI with productive cough,False,False,source_missing_hide_from_rx,False,Ambroxol HCl 30 mg.,gold_regimen_f8276d78ffc4,,False,RX3,RX NOW,BDS002655,FRM0002,False,False,cdc_common_cold_treatment;  nice_acute_cough_antimicrobial_ng120
1 eff tab PO OD,5 days,,,,uri_wet_cough_adult,Acute viral URI with productive cough,False,False,source_missing_hide_from_rx,False,Acetylcysteine 600 mg.,gold_regimen_5dcb70e5b2eb,,False,SWAP1,SWAP,BDS002901,FRM0002,False,False,cdc_common_cold_treatment;  nice_acute_cough_antimicrobial_ng120
1–2 tabs PO q4–6h PRN fever/pain,3 days,,,,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_c1ca6fdb2e9f,,False,RX1,RX NOW,BDS003762,FRM0003,False,False,
1 tab PO OD,5 days,,,,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_35371e7aa0ef,,False,RX2,RX NOW,BDS004213,FRM0003,False,False,
1 sachet in 150 mL water; sip frequently / after each loose stool,1–2 days,,,,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,False,False,source_missing_hide_from_rx,False,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,gold_regimen_986999f9a132,,False,RX3,RX NOW,BDS008282,FRM0003,False,False,
1 sachet PO BID,3 days,,,,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,False,False,source_missing_hide_from_rx,False,Lyophilized Saccharomyces boulardii 250 mg.,gold_regimen_4be65683c297,,False,RX4,RX NOW,BDS001248,FRM0003,False,False,
1 sachet PO TID–QID,2 days,,,,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,False,False,source_missing_hide_from_rx,False,Dioctahedral Smectite 3 g./20 ml.,gold_regimen_01c096705a53,,False,SWAP1,SWAP,BDS042304,FRM0003,False,False,
1 cap PO q8h,2–3 days,,,,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,False,False,source_missing_hide_from_rx,False,Racecadotril 100 mg.,gold_regimen_4535c52a7fdb,,False,SWAP2,SWAP,BDS043842,FRM0003,False,False,
1 tab PO q4–6h,3–5 days,,,,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,False,False,source_missing_hide_from_rx,False,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,gold_regimen_70ea18440f3f,,False,SWAP3,SWAP,BDS045630,FRM0003,False,False,
1 sachet in 150 mL water; sip frequently / after each loose stool,1–2 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,gold_regimen_d9480d52cc6a,,False,RX1,RX NOW,BDS008282,FRM0004,False,False,
1 sachet PO BID,3 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Lyophilized Saccharomyces boulardii 250 mg.,gold_regimen_1bba07e3cf18,,False,RX2,RX NOW,BDS001248,FRM0004,False,False,
1 sachet PO TID–QID,2 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Dioctahedral Smectite 3 g./20 ml.,gold_regimen_d66ba056f098,,False,SWAP1,SWAP,BDS042304,FRM0004,False,False,
1 cap PO q8h,2–3 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Racecadotril 100 mg.,gold_regimen_9fb4cc41b637,,False,SWAP2,SWAP,BDS043842,FRM0004,False,False,
1–2 tabs PO q4–6h PRN fever/pain,3 days,,,,uri_rash_adult,Acute viral URI with viral/allergic rash,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_6dad615aab2f,,False,RX1,RX NOW,BDS003762,FRM0005,False,False,
1 tab PO OD,5 days,,,,uri_rash_adult,Acute viral URI with viral/allergic rash,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_d50b5881f9bd,,False,RX2,RX NOW,BDS004213,FRM0005,False,False,
apply thinly BID–TID to itchy rash,5 days,,,,uri_rash_adult,Acute viral URI with viral/allergic rash,False,False,source_missing_hide_from_rx,False,Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g,gold_regimen_fab7bc85a7d7,,False,RX3,RX NOW,BDS006745,FRM0005,False,False,
1 tab PO OD,5 days,,,,uri_rash_adult,Acute viral URI with viral/allergic rash,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_aaa7fe034e46,,False,SWAP1,SWAP,BDS003747,FRM0005,False,False,
1 tab PO q4–6h,3–5 days,,,,uri_rash_adult,Acute viral URI with viral/allergic rash,False,False,source_missing_hide_from_rx,False,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,gold_regimen_dc10309bf03c,,False,SWAP2,SWAP,BDS045630,FRM0005,False,False,
