disease_id,display_name,complaints,regimen_ids,manual_review,source_runtime_path
abdominal_colic_adult,abdominal_colic_adult,"{""complaint"": ""abdominal cramp"", ""complaint_id"": ""CI0047"", ""disease_id"": ""abdominal_colic_adult"", ""manual_review"": true, ""match_type"": ""exact"", ""priority"": 1, ""source_status"": ""legacy_unverified""}; {""complaint"": ""colic"", ""complaint_id"": ""CI0048"", ""disease_id"": ""abdominal_colic_adult"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 2, ""source_status"": ""legacy_unverified""}; {""complaint"": ""stomach cramp"", ""complaint_id"": ""CI0049"", ""disease_id"": ""abdominal_colic_adult"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 3, ""source_status"": ""legacy_unverified""}",FRM0019,True,data/core/opd_fast_index.json:index[0]
abdominal_colic_peds,abdominal_colic_peds,"{""complaint"": ""abdominal colic child"", ""complaint_id"": ""CI0239"", ""disease_id"": ""abdominal_colic_peds"", ""manual_review"": true, ""match_type"": ""exact"", ""priority"": 1, ""source_status"": ""legacy_unverified""}; {""complaint"": ""stomach cramp child"", ""complaint_id"": ""CI0240"", ""disease_id"": ""abdominal_colic_peds"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 2, ""source_status"": ""legacy_unverified""}; {""complaint"": ""colic child"", ""complaint_id"": ""CI0241"", ""disease_id"": ""abdominal_colic_peds"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 3, ""source_status"": ""legacy_unverified""}",FRM0083,True,data/core/opd_fast_index.json:index[1]
abdominal_gas_bloating_adult,abdominal_gas_bloating_adult,"{""complaint"": ""gas bloating"", ""complaint_id"": ""CI0044"", ""disease_id"": ""abdominal_gas_bloating_adult"", ""manual_review"": true, ""match_type"": ""exact"", ""priority"": 1, ""source_status"": ""legacy_unverified""}; {""complaint"": ""bloating"", ""complaint_id"": ""CI0045"", ""disease_id"": ""abdominal_gas_bloating_adult"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 2, ""source_status"": ""legacy_unverified""}; {""complaint"": ""abdominal gas"", ""complaint_id"": ""CI0046"", ""disease_id"": ""abdominal_gas_bloating_adult"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 3, ""source_status"": ""legacy_unverified""}",FRM0018,True,data/core/opd_fast_index.json:index[2]
abdominal_gas_peds,abdominal_gas_peds,"{""complaint"": ""abdominal gas child"", ""complaint_id"": ""CI0236"", ""disease_id"": ""abdominal_gas_peds"", ""manual_review"": true, ""match_type"": ""exact"", ""priority"": 1, ""source_status"": ""legacy_unverified""}; {""complaint"": ""child bloating gas"", ""complaint_id"": ""CI0237"", ""disease_id"": ""abdominal_gas_peds"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 2, ""source_status"": ""legacy_unverified""}; {""complaint"": ""gas child"", ""complaint_id"": ""CI0238"", ""disease_id"": ""abdominal_gas_peds"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 3, ""source_status"": ""legacy_unverified""}",FRM0082,True,data/core/opd_fast_index.json:index[3]
acute_cough_no_abx,Acute cough / acute bronchitis no antibiotic,"{""age_group"": ""adult_or_peds"", ""complaint"": ""acute cough"", ""complaint_group"": ""Respiratory"", ""complaint_id"": ""PATCH_CI_NICE_MULTI_20260516_035"", ""disease_id"": ""acute_cough_no_abx"", ""enabled"": true, ""import_source"": ""guideline_patch_20260516"", ""manual_review"": true, ""match_type"": ""exact"", ""normalized_input"": ""acute cough"", ""notes"": ""no routine antibiotic"", ""priority"": 1, ""source_status"": ""pending_manual_review""}; {""age_group"": ""adult_or_peds"", ""complaint"": ""acute bronchitis"", ""complaint_group"": ""Respiratory"", ""complaint_id"": ""PATCH_CI_NICE_MULTI_20260516_036"", ""disease_id"": ""acute_cough_no_abx"", ""enabled"": true, ""import_source"": ""guideline_patch_20260516"", ""manual_review"": true, ""match_type"": ""exact"", ""normalized_input"": ""acute bronchitis"", ""notes"": ""no routine antibiotic"", ""priority"": 1, ""source_status"": ""pending_manual_review""}",PATCH_FRM_NICE_ACUTE_COUGH_20260516,True,data/core/opd_fast_index.json:index[4]
acute_gastroenteritis_peds_mild,acute_gastroenteritis_peds_mild,"{""complaint"": ""gastroenteritis child"", ""complaint_id"": ""CI0242"", ""disease_id"": ""acute_gastroenteritis_peds_mild"", ""manual_review"": true, ""match_type"": ""exact"", ""priority"": 1, ""source_status"": ""legacy_unverified""}; {""complaint"": ""child gastroenteritis"", ""complaint_id"": ""CI0243"", ""disease_id"": ""acute_gastroenteritis_peds_mild"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 2, ""source_status"": ""legacy_unverified""}; {""complaint"": ""mild diarrhea child"", ""complaint_id"": ""CI0244"", ""disease_id"": ""acute_gastroenteritis_peds_mild"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 3, ""source_status"": ""legacy_unverified""}",FRM0084,True,data/core/opd_fast_index.json:index[5]
acute_gout_adult,Acute gout flare,"{""age_group"": ""adult"", ""complaint"": ""gout flare"", ""complaint_group"": ""Rheum/MSK"", ""complaint_id"": ""PATCH_CI_NICE_BIGBATCH_20260516_020"", ""disease_id"": ""acute_gout_adult"", ""enabled"": true, ""import_source"": ""guideline_patch_20260516"", ""manual_review"": true, ""match_type"": ""exact"", ""normalized_input"": ""gout flare"", ""notes"": ""acute gout"", ""priority"": 1, ""source_status"": ""pending_manual_review""}; {""age_group"": ""adult"", ""complaint"": ""acute gout"", ""complaint_group"": ""Rheum/MSK"", ""complaint_id"": ""PATCH_CI_NICE_BIGBATCH_20260516_021"", ""disease_id"": ""acute_gout_adult"", ""enabled"": true, ""import_source"": ""guideline_patch_20260516"", ""manual_review"": true, ""match_type"": ""exact"", ""normalized_input"": ""acute gout"", ""notes"": ""acute gout"", ""priority"": 1, ""source_status"": ""pending_manual_review""}",PATCH_FRM_NICE_GOUT_ACUTE_20260516,True,data/core/opd_fast_index.json:index[6]
acute_otitis_media,Acute otitis media,"{""age_group"": ""adult_or_peds"", ""complaint"": ""acute otitis media"", ""complaint_group"": ""ENT/ID"", ""complaint_id"": ""PATCH_CI_NICE_BIGBATCH_20260516_023"", ""disease_id"": ""acute_otitis_media"", ""enabled"": true, ""import_source"": ""guideline_patch_20260516"", ""manual_review"": true, ""match_type"": ""exact"", ""normalized_input"": ""acute otitis media"", ""notes"": ""AOM antibiotic gate"", ""priority"": 1, ""source_status"": ""pending_manual_review""}; {""age_group"": ""adult_or_peds"", ""complaint"": ""ear pain fever"", ""complaint_group"": ""ENT/ID"", ""complaint_id"": ""PATCH_CI_NICE_BIGBATCH_20260516_024"", ""disease_id"": ""acute_otitis_media"", ""enabled"": true, ""import_source"": ""guideline_patch_20260516"", ""manual_review"": true, ""match_type"": ""semantic"", ""normalized_input"": ""ear pain fever"", ""notes"": ""AOM"", ""priority"": 1, ""source_status"": ""pending_manual_review""}",PATCH_FRM_NICE_AOM_20260516,True,data/core/opd_fast_index.json:index[7]
acute_pharyngitis_viral_adult,acute_pharyngitis_viral_adult,"{""complaint"": ""viral pharyngitis"", ""complaint_id"": ""CI0119"", ""disease_id"": ""acute_pharyngitis_viral_adult"", ""manual_review"": true, ""match_type"": ""exact"", ""priority"": 1, ""source_status"": ""legacy_unverified""}; {""complaint"": ""viral sore throat"", ""complaint_id"": ""CI0120"", ""disease_id"": ""acute_pharyngitis_viral_adult"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 2, ""source_status"": ""legacy_unverified""}; {""complaint"": ""throat irritation"", ""complaint_id"": ""CI0121"", ""disease_id"": ""acute_pharyngitis_viral_adult"", ""manual_review"": true, ""match_type"": ""alias"", ""priority"": 3, ""source_status"": ""legacy_unverified""}",FRM0043,True,data/core/opd_fast_index.json:index[8]
acute_sinusitis_no_abx,Acute sinusitis no antibiotic,"{""age_group"": ""adult_or_peds"", ""complaint"": ""acute sinusitis"", ""complaint_group"": ""ENT/ID"", ""complaint_id"": ""PATCH_CI_NICE_MULTI_20260516_050"", ""disease_id"": ""acute_sinusitis_no_abx"", ""enabled"": true, ""import_source"": ""guideline_patch_20260516"", ""manual_review"": true, ""match_type"": ""exact"", ""normalized_input"": ""acute sinusitis"", ""notes"": ""supportive default"", ""priority"": 1, ""source_status"": ""pending_manual_review""}",PATCH_FRM_NICE_SINUSITIS_NOABX_20260516,True,data/core/opd_fast_index.json:index[9]
