regimen_id,disease_key,disease_name,ICD10,complaint_key,role,tier,default_row,product_id,drug_name,composition,BDS,sig,duration,dispense,caution,side_effect,clinical_readiness,fast_mode_allowed,evidence_status,source_status,blocked_reason,missing_requirements,next_action,old_runtime_status,source_runtime_path
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0001,RX NOW,RX1,True,BDS004213,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[0].r[0].m[0]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0001,RX NOW,RX2,True,BDS002805,Nasonex 60 doses [Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g)],Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),BDS002805,2 sprays/nostril OD,7–14 days,1 bottle (60 doses),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[0].r[0].m[1]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0001,SWAP,SWAP1,True,BDS003747,Telfast 180 mg [Fexofenadine HCl 180 mg.],Fexofenadine HCl 180 mg.,BDS003747,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[0].r[0].m[2]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0001,SWAP,SWAP2,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[0].r[0].m[3]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0002,RX NOW,RX1,True,BDS004213,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[1].r[0].m[0]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0002,RX NOW,RX2,True,BDS002805,Nasonex 60 doses [Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g)],Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),BDS002805,2 sprays/nostril OD,7–14 days,1 bottle (60 doses),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[1].r[0].m[1]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0002,SWAP,SWAP1,True,BDS003747,Telfast 180 mg [Fexofenadine HCl 180 mg.],Fexofenadine HCl 180 mg.,BDS003747,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[1].r[0].m[2]
FRM0001,allergic_rhinitis_adult,Allergic rhinitis,,CI0002,SWAP,SWAP2,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[1].r[0].m[3]
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0003,RX NOW,RX1,True,BDS003762,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,BDS003762,1–2 tabs PO q4–6h PRN fever/pain,3 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[2].r[0].m[0]
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0003,RX NOW,RX2,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[2].r[0].m[1]
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0003,RX NOW,RX3,True,BDS002655,Mucolid [Ambroxol HCl 30 mg.],Ambroxol HCl 30 mg.,BDS002655,1 tab PO TID–QID,3 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[2].r[0].m[2]
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0003,SWAP,SWAP1,True,BDS002901,Nac Long [Acetylcysteine 600 mg.],Acetylcysteine 600 mg.,BDS002901,1 eff tab PO OD,5 days,1 tube (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[2].r[0].m[3]
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0004,RX NOW,RX1,True,BDS003762,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,BDS003762,1–2 tabs PO q4–6h PRN fever/pain,3 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[3].r[0].m[0]
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0004,RX NOW,RX2,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[3].r[0].m[1]
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0004,RX NOW,RX3,True,BDS002655,Mucolid [Ambroxol HCl 30 mg.],Ambroxol HCl 30 mg.,BDS002655,1 tab PO TID–QID,3 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[3].r[0].m[2]
FRM0002,uri_wet_cough_adult,Acute viral URI with productive cough,,CI0004,SWAP,SWAP1,True,BDS002901,Nac Long [Acetylcysteine 600 mg.],Acetylcysteine 600 mg.,BDS002901,1 eff tab PO OD,5 days,1 tube (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[3].r[0].m[3]
FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,,CI0005,RX NOW,RX1,True,BDS003762,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,BDS003762,1–2 tabs PO q4–6h PRN fever/pain,3 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[4].r[0].m[0]
FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,,CI0005,RX NOW,RX2,True,BDS004213,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,BDS004213,1 tab PO OD,5 days,1 box (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[4].r[0].m[1]
FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,,CI0005,RX NOW,RX3,True,BDS008282,Cera ORS รสส้ม [Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.],Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,BDS008282,1 sachet in 150 mL water; sip frequently / after each loose stool,1–2 days,1 box (5 sachets),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[4].r[0].m[2]
FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,,CI0005,RX NOW,RX4,True,BDS001248,Bioflor [Lyophilized Saccharomyces boulardii 250 mg.],Lyophilized Saccharomyces boulardii 250 mg.,BDS001248,1 sachet PO BID,3 days,6 sachets,,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[4].r[0].m[3]
FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,,CI0005,SWAP,SWAP1,True,BDS042304,Dehecta [Dioctahedral Smectite 3 g./20 ml.],Dioctahedral Smectite 3 g./20 ml.,BDS042304,1 sachet PO TID–QID,2 days,6 sachets,,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[4].r[0].m[4]
FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,,CI0005,SWAP,SWAP2,True,BDS043842,Hidrasec 100 mg. [Racecadotril 100 mg.],Racecadotril 100 mg.,BDS043842,1 cap PO q8h,2–3 days,1 box (10 caps),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[4].r[0].m[5]
FRM0003,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,,CI0005,SWAP,SWAP3,True,BDS045630,Nasotapp [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.],Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,BDS045630,1 tab PO q4–6h,3–5 days,1 strip (10 tabs),,,usable_with_warning,True,pending_source_collection,source_gap,,verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[4].r[0].m[6]
