issue_id,severity,disease_key,regimen_id,product_id,generic_name,current_sig,current_dose,current_duration,issue_type,why_suspect,source_status,evidence_status,recommended_action,source_gap_needed,test_case_needed,source_file,source_runtime_path,display_name,issues,id,reasons,source_row,status,correction_id,target_id,action
CLIN_FRM0001_RX1_FAST_SOURCE_GAP,high,allergic_rhinitis_adult,FRM0001,BDS004213,Cetirizine dihydrochloride,1 tab PO OD,1 tab PO OD,5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[0],,,,,,,,,
CLIN_FRM0001_SWAP1_FAST_SOURCE_GAP,high,allergic_rhinitis_adult,FRM0001,BDS003747,Fexofenadine HCl,1 tab PO OD,1 tab PO OD,5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[1],,,,,,,,,
CLIN_FRM0001_SWAP2_FAST_SOURCE_GAP,high,allergic_rhinitis_adult,FRM0001,BDS045630,Brompheniramine Maleate + Phenylephrine HCl,1 tab PO q4–6h,1 tab PO q4–6h,3–5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[2],,,,,,,,,
CLIN_FRM0002_RX1_FAST_SOURCE_GAP,high,uri_wet_cough_adult,FRM0002,BDS003762,Paracetamol,1–2 tabs PO q4–6h PRN fever/pain,1–2 tabs PO q4–6h PRN fever/pain,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[3],,,,,,,,,
CLIN_FRM0002_RX2_FAST_SOURCE_GAP,high,uri_wet_cough_adult,FRM0002,BDS045630,Brompheniramine Maleate + Phenylephrine HCl,1 tab PO q4–6h,1 tab PO q4–6h,3–5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[4],,,,,,,,,
CLIN_FRM0002_RX3_FAST_SOURCE_GAP,high,uri_wet_cough_adult,FRM0002,BDS002655,Ambroxol HCl,1 tab PO TID–QID,1 tab PO TID–QID,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[5],,,,,,,,,
CLIN_FRM0002_SWAP1_FAST_SOURCE_GAP,high,uri_wet_cough_adult,FRM0002,BDS002901,Acetylcysteine,1 eff tab PO OD,1 eff tab PO OD,5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[6],,,,,,,,,
CLIN_FRM0003_RX1_FAST_SOURCE_GAP,high,uri_diarrhea_adult,FRM0003,BDS003762,Paracetamol,1–2 tabs PO q4–6h PRN fever/pain,1–2 tabs PO q4–6h PRN fever/pain,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[7],,,,,,,,,
CLIN_FRM0003_RX2_FAST_SOURCE_GAP,high,uri_diarrhea_adult,FRM0003,BDS004213,Cetirizine dihydrochloride,1 tab PO OD,1 tab PO OD,5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[8],,,,,,,,,
CLIN_FRM0003_SWAP2_FAST_SOURCE_GAP,high,uri_diarrhea_adult,FRM0003,BDS043842,Racecadotril,1 cap PO q8h,1 cap PO q8h,2–3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[9],,,,,,,,,
