source_id,source_title,source_org,source_url,access_date,source_type,source_country_or_region,adapter_name,retrieval_status,extraction_status,linked_product_id,linked_generic_name
dailymed_c4fc0b47b5dc,ACYCLOVIR SUSPENSION (ACYCLOVIR) SUSPENSION [ATLANTIC BIOLOGICALS CORP.],DailyMed / U.S. National Library of Medicine,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5105272f-cff8-8898-e063-6394a90aabb5,2026-05-11,official_product_label,United States,full_dailymed_accredited_sweep,retrieved,field_snippets_extracted,BDS008064,Acyclovir
dailymed_f74aaeabcfb2,ACYCLOVIR SUSPENSION (ACYCLOVIR) SUSPENSION [ATLANTIC BIOLOGICALS CORP.],DailyMed / U.S. National Library of Medicine,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5105272f-cff8-8898-e063-6394a90aabb5,2026-05-11,official_product_label,United States,full_dailymed_accredited_sweep,retrieved,field_snippets_extracted,BDS008065,Acyclovir
dailymed_afd6297bf8c4,ACYCLOVIR SUSPENSION (ACYCLOVIR) SUSPENSION [ATLANTIC BIOLOGICALS CORP.],DailyMed / U.S. National Library of Medicine,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5105272f-cff8-8898-e063-6394a90aabb5,2026-05-11,official_product_label,United States,full_dailymed_accredited_sweep,retrieved,field_snippets_extracted,BDS007782,Acyclovir
dailymed_18133e31cc1e,ACYCLOVIR SUSPENSION (ACYCLOVIR) SUSPENSION [ATLANTIC BIOLOGICALS CORP.],DailyMed / U.S. National Library of Medicine,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5105272f-cff8-8898-e063-6394a90aabb5,2026-05-11,official_product_label,United States,full_dailymed_accredited_sweep,retrieved,field_snippets_extracted,BDS007783,Acyclovir
dailymed_1e109e2d40bd,ACYCLOVIR SUSPENSION (ACYCLOVIR) SUSPENSION [ATLANTIC BIOLOGICALS CORP.],DailyMed / U.S. National Library of Medicine,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5105272f-cff8-8898-e063-6394a90aabb5,2026-05-11,official_product_label,United States,full_dailymed_accredited_sweep,retrieved,field_snippets_extracted,BDS007781,Acyclovir
dailymed_53affeb2b36e,ACYCLOVIR SUSPENSION (ACYCLOVIR) SUSPENSION [ATLANTIC BIOLOGICALS CORP.],DailyMed / U.S. National Library of Medicine,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5105272f-cff8-8898-e063-6394a90aabb5,2026-05-11,official_product_label,United States,full_dailymed_accredited_sweep,retrieved,field_snippets_extracted,BDS004019,Acyclovir
dailymed_5637c4e45404,ACYCLOVIR SUSPENSION (ACYCLOVIR) SUSPENSION [ATLANTIC BIOLOGICALS CORP.],DailyMed / U.S. National Library of Medicine,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5105272f-cff8-8898-e063-6394a90aabb5,2026-05-11,official_product_label,United States,full_dailymed_accredited_sweep,retrieved,field_snippets_extracted,BDS004086,Acyclovir
dailymed_d4cbc2cb963a,ACYCLOVIR SUSPENSION (ACYCLOVIR) SUSPENSION [ATLANTIC BIOLOGICALS CORP.],DailyMed / U.S. National Library of Medicine,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5105272f-cff8-8898-e063-6394a90aabb5,2026-05-11,official_product_label,United States,full_dailymed_accredited_sweep,retrieved,field_snippets_extracted,BDS004011,Acyclovir
dailymed_15a8c3aae617,"METFORMIN HYDROCHLORIDE TABLET, EXTENDED RELEASE [REMEDYREPACK INC.]",DailyMed / U.S. National Library of Medicine,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=014f2a32-8440-4d0c-8f5d-c4b3a49e0dec,2026-05-11,official_product_label,United States,full_dailymed_accredited_sweep,retrieved,field_snippets_extracted,BDS002035,Metformin HCl
dailymed_34ea56ad82c4,"METFORMIN HYDROCHLORIDE TABLET, EXTENDED RELEASE [REMEDYREPACK INC.]",DailyMed / U.S. National Library of Medicine,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=014f2a32-8440-4d0c-8f5d-c4b3a49e0dec,2026-05-11,official_product_label,United States,full_dailymed_accredited_sweep,retrieved,field_snippets_extracted,BDS043610,Metformin HCl
