generic_group,product_count,source_target,query_url,status,expected_fields
paracetamol,31,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=paracetamol&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
diclofenac,16,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=diclofenac&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
triamcinolone acetonide,13,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=triamcinolone%20acetonide&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
acyclovir,12,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=acyclovir&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
ibuprofen,12,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=ibuprofen&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
ambroxol,11,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=ambroxol&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
acetylcysteine,10,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=acetylcysteine&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
carbocysteine,10,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=carbocysteine&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
chloride,10,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=chloride&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
clotrimazole,10,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=clotrimazole&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
simethicone,9,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=simethicone&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
metformin,8,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=metformin&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
simvastatin,8,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=simvastatin&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
azithromycin,7,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=azithromycin&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
domperidone,7,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=domperidone&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
fexofenadine,7,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=fexofenadine&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
ketoconazole,7,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=ketoconazole&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
losartan,7,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=losartan&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
piroxicam,7,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=piroxicam&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
amoxicillin,6,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=amoxicillin&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
amlodipine,5,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=amlodipine&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
cetirizine,5,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=cetirizine&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
chlorpheniramine,5,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=chlorpheniramine&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
etoricoxib,5,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=etoricoxib&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
montelukast,5,DailyMed official label,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=montelukast&pagesize=1,searched,composition/strength/form/route; contraindications; precautions; adverse reactions; interactions; pregnancy/lactation
