age_max_months,age_min_months,calculation_formula,contraindicated_age,disease_key,dose_basis,dose_max_mg_per_kg,dose_min_mg_per_kg,duration,final_pediatric_status,fixed_dose,frequency,generic_name,max_mg_per_day,max_mg_per_dose,pediatric_formula_ready,pediatric_rule_id,product_concentration,product_id,rounding_rule,source_ids,volume_formula,weight_max_kg,weight_min_kg,missing_fields
,,,,,,,,,source_missing_hide_from_rx,,,montelukast sodium,,,False,peds_d803fdaf5229,"{""manual_review"": true, ""matched_text"": ""5.2 mg"", ""parse_status"": ""unit_strength_only"", ""review_reason"": ""not_a_liquid_concentration"", ""unit"": ""mg"", ""value"": 5.2}",BDS047722,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,azithromycin,,,False,peds_9913f7be60e9,"{""manual_review"": false, ""matched_text"": ""200 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 40.0}",BDS001084,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,cefixime,,,False,peds_4b6a81ce1db6,"{""manual_review"": false, ""matched_text"": ""100 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 20.0}",BDS001441,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,cephalexin,,,False,peds_d1ebaf0fab79,"{""manual_review"": false, ""matched_text"": ""125 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 25.0}",BDS002206,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,amoxicillin,,,False,peds_8db2036e871b,"{""manual_review"": false, ""matched_text"": ""125 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 25.0}",BDS007586,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,azithromycin,,,False,peds_85d6c5d7d2ed,"{""manual_review"": false, ""matched_text"": ""200 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 40.0}",BDS046209,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,amoxicillin,,,False,peds_dd8b4f673560,"{""manual_review"": false, ""matched_text"": ""125 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 25.0}",BDS003549,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,amoxicillin,,,False,peds_0805eccb9a04,"{""manual_review"": false, ""matched_text"": ""250 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 50.0}",BDS003550,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,cloxacillin,,,False,peds_85a16656f48d,"{""manual_review"": false, ""matched_text"": ""125 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 25.0}",BDS007682,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,paracetamol,,,False,peds_c8cdf0de7f47,"{""manual_review"": false, ""matched_text"": ""120 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 24.0}",BDS008609,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
