adult_dose,adult_duration,adult_frequency,adult_max_dose,adult_route,disease_key,disease_name,dose_verified,duration_verified,final_rx_status,frequency_verified,generic_name,gold_regimen_row_id,icd10,indication_verified,line_of_therapy,modality,product_id,regimen_id,route_verified,safety_minimum_ready,source_ids,product_match_gap_reason
1 tab PO TID–QID,3 days,,,,uri_wet_cough_adult,Acute viral URI with productive cough,False,False,source_missing_hide_from_rx,False,Ambroxol HCl 30 mg.,gold_regimen_ad306dae5b14,,False,RX3,RX NOW,BDS002655,FRM0002,False,False,cdc_common_cold_treatment;  nice_acute_cough_antimicrobial_ng120,High-priority OPD row still needs accredited source evidence and product-specific match.
1 eff tab PO OD,5 days,,,,uri_wet_cough_adult,Acute viral URI with productive cough,False,False,source_missing_hide_from_rx,False,Acetylcysteine 600 mg.,gold_regimen_5753d9230be6,,False,SWAP1,SWAP,BDS002901,FRM0002,False,False,cdc_common_cold_treatment;  nice_acute_cough_antimicrobial_ng120,High-priority OPD row still needs accredited source evidence and product-specific match.
1 tab PO TID–QID,3 days,,,,uri_wet_cough_adult,Acute viral URI with productive cough,False,False,source_missing_hide_from_rx,False,Ambroxol HCl 30 mg.,gold_regimen_f8276d78ffc4,,False,RX3,RX NOW,BDS002655,FRM0002,False,False,cdc_common_cold_treatment;  nice_acute_cough_antimicrobial_ng120,High-priority OPD row still needs accredited source evidence and product-specific match.
1 eff tab PO OD,5 days,,,,uri_wet_cough_adult,Acute viral URI with productive cough,False,False,source_missing_hide_from_rx,False,Acetylcysteine 600 mg.,gold_regimen_5dcb70e5b2eb,,False,SWAP1,SWAP,BDS002901,FRM0002,False,False,cdc_common_cold_treatment;  nice_acute_cough_antimicrobial_ng120,High-priority OPD row still needs accredited source evidence and product-specific match.
1–2 tabs PO q4–6h PRN fever/pain,3 days,,,,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_c1ca6fdb2e9f,,False,RX1,RX NOW,BDS003762,FRM0003,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 tab PO OD,5 days,,,,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_35371e7aa0ef,,False,RX2,RX NOW,BDS004213,FRM0003,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 sachet in 150 mL water; sip frequently / after each loose stool,1–2 days,,,,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,False,False,source_missing_hide_from_rx,False,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,gold_regimen_986999f9a132,,False,RX3,RX NOW,BDS008282,FRM0003,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1 cap PO q8h,2–3 days,,,,uri_diarrhea_adult,Acute viral URI with acute infectious diarrhea,False,False,source_missing_hide_from_rx,False,Racecadotril 100 mg.,gold_regimen_4535c52a7fdb,,False,SWAP2,SWAP,BDS043842,FRM0003,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1 sachet in 150 mL water; sip frequently / after each loose stool,1–2 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,gold_regimen_d9480d52cc6a,,False,RX1,RX NOW,BDS008282,FRM0004,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1 cap PO q8h,2–3 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Racecadotril 100 mg.,gold_regimen_9fb4cc41b637,,False,SWAP2,SWAP,BDS043842,FRM0004,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1–2 tabs PO q4–6h PRN fever/pain,3 days,,,,uri_rash_adult,Acute viral URI with viral/allergic rash,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_6dad615aab2f,,False,RX1,RX NOW,BDS003762,FRM0005,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 tab PO OD,5 days,,,,uri_rash_adult,Acute viral URI with viral/allergic rash,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_d50b5881f9bd,,False,RX2,RX NOW,BDS004213,FRM0005,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 tab PO OD,5 days,,,,uri_rash_adult,Acute viral URI with viral/allergic rash,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_aaa7fe034e46,,False,SWAP1,SWAP,BDS003747,FRM0005,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1–2 drops OU / affected eye PRN,7 days,,,,dry_eye_adult,Symptomatic dry eye syndrome,False,False,source_missing_hide_from_rx,False,Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),gold_regimen_ceb640b64a44,,False,RX1,RX NOW,BDS004035,FRM0007,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1 sachet in 150 mL water; small frequent sips,1–2 days,,,,acute_watery_diarrhea_peds,Acute watery diarrhea (pediatric starter row),False,False,source_missing_hide_from_rx,False,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,gold_regimen_8e287cc7ecbf,,False,RX1,RX NOW,BDS008282,FRM0008,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1 tab PO OD,5 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_11be435a3285,,False,SWAP2,SWAP,BDS003747,FRM0009,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 tab PO OD,5 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_6b176b039f60,,False,SWAP2,SWAP,BDS003747,FRM0009,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
