common_side_effects,contraindications,generic_name,hepatic_notes,major_interactions,pediatric_notes,precautions,pregnancy_lactation,product_id,red_flag_referral,renal_notes,safety_id,safety_ready,safety_source_level,serious_side_effects,source_ids,missing_fields
,,Amoxicillin,,,,,,BDS040078,,,safe_9a6128a726d2,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Amoxicillin + Clavulanic Acid,,,,,,BDS001103,,,safe_8826e2bc6c7d,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Amoxicillin + Clavulanic Acid,,,,,,BDS001035,,,safe_b1bf3a08e117,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Amoxicillin Trihydrate + Clavulanic Potassium,,,,,,BDS040017,,,safe_f63351c6cf31,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Azithromycin,,,,,,BDS001494,,,safe_2a8dce298076,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Azithromycin,,,,,,BDS006115,,,safe_511c73249b91,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Roxithromycin,,,,,,BDS007066,,,safe_b32f4ffd1a4b,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Amoxicillin + Clavulanic Acid,,,,,,BDS001545,,,safe_633318733e58,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Cephalexin,,,,,,BDS007784,,,safe_70a572930c57,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Clarithromycin,,,,,,BDS001452,,,safe_19157b7ce6a3,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Dicloxacillin,,,,,,BDS008652,,,safe_5bd903eeb256,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Dicloxacillin,,,,,,BDS008702,,,safe_bf79309cb887,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Azithromycin,,,,,,BDS001943,,,safe_5762b5d7b757,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Amoxicillin,,,,,,BDS002201,,,safe_5dcd104816cb,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Clarithromycin,,,,,,BDS002447,,,safe_5f42dd83edd3,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Cefditoren,,,,,,BDS002692,,,safe_f6cbcc699357,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Cefdinir,,,,,,BDS003078,,,safe_3198cb463c2c,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Erythromycin stearate,,,,,,BDS008121,,,safe_3de72f2a4fe4,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Roxithromycin,,,,,,BDS003423,,,safe_ae2732c46d77,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Roxithromycin,,,,,,BDS007976,,,safe_20bdc62187b4,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Roxithromycin,,,,,,BDS003428,,,safe_2946830183ee,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Amoxicillin,,,,,,BDS007007,,,safe_6bc32e7b5687,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Azithromycin,,,,,,BDS049776,,,safe_cba802089a4d,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Paracetamol,,,,,,BDS040614,,,safe_f888b7e34f7c,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Paracetamol,,,,,,BDS007047,,,safe_d8aaa032d261,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Paracetamol,,,,,,BDS007041,,,safe_e6f1707611da,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Paracetamol,,,,,,BDS046505,,,safe_4837385f85da,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Paracetamol,,,,,,BDS003109,,,safe_1da9b1540f38,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Paracetamol,,,,,,BDS003595,,,safe_7d3612fa072f,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Paracetamol,,,,,,BDS003764,,,safe_118e5f4423c2,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Paracetamol,,,,,,BDS003748,,,safe_efe4f951babb,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Desloratadine,,,,,,BDS001010,,,safe_f095eab730d5,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Cetirizine dihydrochloride,,,,,,BDS040029,,,safe_135f945693b5,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Hydroxyzine HCl,,,,,,BDS007702,,,safe_3a4aac3092bd,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Loratadine,,,,,,BDS040033,,,safe_664233cca311,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
