query_id,priority,product_id,product_name,generic_name,disease_key,source_category,source_target,query,expected_fields,retrieval_status,notes
gq_79ccda39a891,A,BDS040078,A.M.Mox 500 [Amoxicillin 500 mg.],Amoxicillin,,product_label,Thai FDA/NDI,Amoxicillin Thai FDA SmPC,composition; strength; form; route; contraindications; cautions,queued,
gq_10527cd4f8ae,B,BDS040078,A.M.Mox 500 [Amoxicillin 500 mg.],Amoxicillin,,official_label,DailyMed/FDA/eMC,Amoxicillin DailyMed dosage contraindications interactions,dose; safety; interactions,queued,
gq_3e0db11b1090,A,BDS001103,AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],Amoxicillin + Clavulanic Acid,,product_label,Thai FDA/NDI,Amoxicillin + Clavulanic Acid Thai FDA SmPC,composition; strength; form; route; contraindications; cautions,queued,
gq_aa8ac83ce4e2,B,BDS001103,AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],Amoxicillin + Clavulanic Acid,,official_label,DailyMed/FDA/eMC,Amoxicillin + Clavulanic Acid DailyMed dosage contraindications interactions,dose; safety; interactions,queued,
gq_ac8c087e1d69,A,BDS001035,Amoksiklav 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],Amoxicillin + Clavulanic Acid,,product_label,Thai FDA/NDI,Amoxicillin + Clavulanic Acid Thai FDA SmPC,composition; strength; form; route; contraindications; cautions,queued,
gq_f7cbcb153d5d,B,BDS001035,Amoksiklav 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],Amoxicillin + Clavulanic Acid,,official_label,DailyMed/FDA/eMC,Amoxicillin + Clavulanic Acid DailyMed dosage contraindications interactions,dose; safety; interactions,queued,
gq_a3b2f739f839,A,BDS040017,Augmentin 1 g. [Amoxicillin Trihydrate (eq. to Amoxicillin 875 mg.)+Clavulanic Potassium (eq. to Clavulanic Acid 125 mg.)],Amoxicillin Trihydrate + Clavulanic Potassium,,product_label,Thai FDA/NDI,Amoxicillin Trihydrate + Clavulanic Potassium Thai FDA SmPC,composition; strength; form; route; contraindications; cautions,queued,
gq_4b371129ce43,B,BDS040017,Augmentin 1 g. [Amoxicillin Trihydrate (eq. to Amoxicillin 875 mg.)+Clavulanic Potassium (eq. to Clavulanic Acid 125 mg.)],Amoxicillin Trihydrate + Clavulanic Potassium,,official_label,DailyMed/FDA/eMC,Amoxicillin Trihydrate + Clavulanic Potassium DailyMed dosage contraindications interactions,dose; safety; interactions,queued,
gq_9fd3757ad919,A,BDS001494,Azithro 250 mg [Azithromycin 250 mg.],Azithromycin,,product_label,Thai FDA/NDI,Azithromycin Thai FDA SmPC,composition; strength; form; route; contraindications; cautions,queued,
gq_78df498351c7,B,BDS001494,Azithro 250 mg [Azithromycin 250 mg.],Azithromycin,,official_label,DailyMed/FDA/eMC,Azithromycin DailyMed dosage contraindications interactions,dose; safety; interactions,queued,
gq_600419ac4372,A,BDS006115,Azycin 250 mg (GPO) [Azithromycin 250 mg.],Azithromycin,,product_label,Thai FDA/NDI,Azithromycin Thai FDA SmPC,composition; strength; form; route; contraindications; cautions,queued,
gq_21c795d3502d,B,BDS006115,Azycin 250 mg (GPO) [Azithromycin 250 mg.],Azithromycin,,official_label,DailyMed/FDA/eMC,Azithromycin DailyMed dosage contraindications interactions,dose; safety; interactions,queued,
gq_80e9150769da,A,BDS007066,B.Roxi [Roxithromycin 150 mg.],Roxithromycin,,product_label,Thai FDA/NDI,Roxithromycin Thai FDA SmPC,composition; strength; form; route; contraindications; cautions,queued,
gq_b5c1795d6331,B,BDS007066,B.Roxi [Roxithromycin 150 mg.],Roxithromycin,,official_label,DailyMed/FDA/eMC,Roxithromycin DailyMed dosage contraindications interactions,dose; safety; interactions,queued,
gq_158e0949d5ba,A,BDS001545,Cavumox 1 g [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],Amoxicillin + Clavulanic Acid,,product_label,Thai FDA/NDI,Amoxicillin + Clavulanic Acid Thai FDA SmPC,composition; strength; form; route; contraindications; cautions,queued,
gq_380b53c35b71,B,BDS001545,Cavumox 1 g [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],Amoxicillin + Clavulanic Acid,,official_label,DailyMed/FDA/eMC,Amoxicillin + Clavulanic Acid DailyMed dosage contraindications interactions,dose; safety; interactions,queued,
gq_bb5d625f9d50,A,BDS007784,Cephalex-500 [Cephalexin 500 mg.],Cephalexin,,product_label,Thai FDA/NDI,Cephalexin Thai FDA SmPC,composition; strength; form; route; contraindications; cautions,queued,
gq_6776a9c4cdb2,B,BDS007784,Cephalex-500 [Cephalexin 500 mg.],Cephalexin,,official_label,DailyMed/FDA/eMC,Cephalexin DailyMed dosage contraindications interactions,dose; safety; interactions,queued,
gq_5ac5f5093800,A,BDS001452,Clarith 500 [Clarithromycin 500 mg.],Clarithromycin,,product_label,Thai FDA/NDI,Clarithromycin Thai FDA SmPC,composition; strength; form; route; contraindications; cautions,queued,
gq_ffbbe9699749,B,BDS001452,Clarith 500 [Clarithromycin 500 mg.],Clarithromycin,,official_label,DailyMed/FDA/eMC,Clarithromycin DailyMed dosage contraindications interactions,dose; safety; interactions,queued,
gq_ae6b3474a01c,A,BDS008652,Dicloxilin-500 [Dicloxacillin 500 mg.],Dicloxacillin,,product_label,Thai FDA/NDI,Dicloxacillin Thai FDA SmPC,composition; strength; form; route; contraindications; cautions,queued,
gq_75dbd9b36709,B,BDS008652,Dicloxilin-500 [Dicloxacillin 500 mg.],Dicloxacillin,,official_label,DailyMed/FDA/eMC,Dicloxacillin DailyMed dosage contraindications interactions,dose; safety; interactions,queued,
gq_d52b56ee4712,A,BDS008702,Dicloxman-500 [Dicloxacillin 500 mg.],Dicloxacillin,,product_label,Thai FDA/NDI,Dicloxacillin Thai FDA SmPC,composition; strength; form; route; contraindications; cautions,queued,
gq_fb70898eebcd,B,BDS008702,Dicloxman-500 [Dicloxacillin 500 mg.],Dicloxacillin,,official_label,DailyMed/FDA/eMC,Dicloxacillin DailyMed dosage contraindications interactions,dose; safety; interactions,queued,
gq_25f18d031306,A,BDS001943,Floctil 250 [Azithromycin 250 mg.],Azithromycin,,product_label,Thai FDA/NDI,Azithromycin Thai FDA SmPC,composition; strength; form; route; contraindications; cautions,queued,
gq_2016186a7971,B,BDS001943,Floctil 250 [Azithromycin 250 mg.],Azithromycin,,official_label,DailyMed/FDA/eMC,Azithromycin DailyMed dosage contraindications interactions,dose; safety; interactions,queued,
gq_82770933ed0e,A,BDS002201,Ibiamox 500 mg [Amoxicillin 500 mg.],Amoxicillin,,product_label,Thai FDA/NDI,Amoxicillin Thai FDA SmPC,composition; strength; form; route; contraindications; cautions,queued,
gq_507624d21dba,B,BDS002201,Ibiamox 500 mg [Amoxicillin 500 mg.],Amoxicillin,,official_label,DailyMed/FDA/eMC,Amoxicillin DailyMed dosage contraindications interactions,dose; safety; interactions,queued,
gq_dd6f4542a098,A,BDS002447,Klacid MR 500 mg [Clarithromycin 500 mg.],Clarithromycin,,product_label,Thai FDA/NDI,Clarithromycin Thai FDA SmPC,composition; strength; form; route; contraindications; cautions,queued,
