peds_dose_rule_id,generic_name,disease_key,indication_text,age_min_value,age_min_unit,age_max_value,age_max_unit,weight_min_kg,weight_max_kg,dose_basis,dose_mg_per_kg_per_dose,dose_mg_per_kg_per_day,fixed_dose,fixed_dose_unit,frequency,max_per_dose,max_per_day,duration,route,source_ids,reviewer_status,reviewer_note
PEDS_RULE_BDS047722,montelukast sodium,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; concentration_missing_or_requires_review
PEDS_RULE_BDS001084,azithromycin,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; antibiotic_requires_disease_specific_indication; antibiotic_requires_duration_source
PEDS_RULE_BDS001441,cefixime,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; antibiotic_requires_disease_specific_indication; antibiotic_requires_duration_source
PEDS_RULE_BDS002206,cephalexin,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; antibiotic_requires_disease_specific_indication; antibiotic_requires_duration_source
PEDS_RULE_BDS007586,amoxicillin,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; antibiotic_requires_disease_specific_indication; antibiotic_requires_duration_source
PEDS_RULE_BDS046209,azithromycin,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; antibiotic_requires_disease_specific_indication; antibiotic_requires_duration_source
PEDS_RULE_BDS003549,amoxicillin,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; antibiotic_requires_disease_specific_indication; antibiotic_requires_duration_source
PEDS_RULE_BDS003550,amoxicillin,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; antibiotic_requires_disease_specific_indication; antibiotic_requires_duration_source
PEDS_RULE_BDS007682,cloxacillin,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; antibiotic_requires_disease_specific_indication; antibiotic_requires_duration_source
PEDS_RULE_BDS008609,paracetamol,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS002407,paracetamol,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS007583,paracetamol,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS002861,paracetamol,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS002847,paracetamol,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS008137,paracetamol,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS003597,paracetamol,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS003711,paracetamol,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS003737,paracetamol,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS003763,paracetamol,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS001015,desloratadine,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS007003,brompheniramine maleate + phenylephrine hcl,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS008047,brompheniramine maleate + phenylephrine hcl,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS008033,chlorpheniramine maleate,,,,,,,,,,,,,,,,,,ophthalmic,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS007038,cetirizine 2hcl,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS044519,desloratadine,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS007271,chlorpheniramine maleate,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS008301,hydroxyzine hcl,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS008086,cetirizine 2hcl,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS004212,cetirizine 2hci,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS006036,butamirate citrate,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
