gap_id,disease_key,generic_name,drug_class,missing_item,source_ids,resolution_status,reviewer_note
GAP_DISEASE_ALLERGIC_RHINITIS,allergic_rhinitis,,,disease,,pending_access,
GAP_DISEASE_URI_WET_COUGH,uri_wet_cough,,,disease,,pending_access,
GAP_DISEASE_URI_DRY_COUGH,uri_dry_cough,,,disease,,pending_access,
GAP_DISEASE_SORE_THROAT,sore_throat,,,disease,,pending_access,
GAP_DISEASE_FEVER_MYALGIA,fever_myalgia,,,disease,,pending_access,
GAP_DISEASE_DIARRHEA_ADULT,diarrhea_adult,,,disease,,pending_access,
GAP_DISEASE_DIARRHEA_CHILD,diarrhea_child,,,disease,,pending_access,
GAP_DISEASE_NAUSEA_VOMITING,nausea_vomiting,,,disease,,pending_access,
GAP_DISEASE_DYSPEPSIA,dyspepsia,,,disease,,pending_access,
GAP_DISEASE_GERD,gerd,,,disease,,pending_access,
GAP_DISEASE_CONSTIPATION,constipation,,,disease,,pending_access,
GAP_DISEASE_DRY_EYE,dry_eye,,,disease,,pending_access,
GAP_DISEASE_RED_EYE,red_eye,,,disease,,pending_access,
GAP_DISEASE_BACTERIAL_CONJUNCTIVITIS,bacterial_conjunctivitis,,,disease,,pending_access,
GAP_DISEASE_ALLERGIC_CONJUNCTIVITIS,allergic_conjunctivitis,,,disease,,pending_access,
GAP_DISEASE_EYELID_BUMP,eyelid_bump,,,disease,,pending_access,
GAP_DISEASE_PTERYGIUM,pterygium,,,disease,,pending_access,
GAP_DISEASE_TINEA,tinea,,,disease,,pending_access,
GAP_DISEASE_DERMATITIS,dermatitis,,,disease,,pending_access,
GAP_DISEASE_HERPES_LABIALIS,herpes_labialis,,,disease,,pending_access,
GAP_DISEASE_APHTHOUS_ULCER,aphthous_ulcer,,,disease,,pending_access,
GAP_DISEASE_URTICARIA,urticaria,,,disease,,pending_access,
GAP_DISEASE_DYSURIA,dysuria,,,disease,,pending_access,
GAP_DISEASE_URINARY_FREQUENCY,urinary_frequency,,,disease,,pending_access,
GAP_DISEASE_DYSMENORRHEA,dysmenorrhea,,,disease,,pending_access,
GAP_DISEASE_MIGRAINE_HEADACHE,migraine_headache,,,disease,,pending_access,
GAP_DISEASE_VERTIGO,vertigo,,,disease,,pending_access,
GAP_DISEASE_MSK_PAIN,msk_pain,,,disease,,pending_access,
GAP_DISEASE_MINOR_WOUND,minor_wound,,,disease,,pending_access,
GAP_DISEASE_ANIMAL_BITE,animal_bite,,,disease,,pending_access,
GAP_TAG_ALLERGY,,,allergy,drug_role_tag,,pending_access,
GAP_TAG_ANTIBIOTIC,,,antibiotic,drug_role_tag,,pending_access,
GAP_TAG_COUGH_COLD,,,cough_cold,drug_role_tag,,pending_access,
GAP_TAG_EYE,,,eye,drug_role_tag,,pending_access,
GAP_TAG_PAIN_FEVER,,,pain_fever,drug_role_tag,,pending_access,
GAP_TAG_PEDIATRIC_CANDIDATE,,,pediatric_candidate,drug_role_tag,,pending_access,
